,car_id,date,customer_name,gender,annual_income,dealer_name,company,model,engine,transmission,color,price,dealer_zip_code,body_style,phone,dealer_region
0,C_CND_000001,2022-01-02,Geraldine,Male,13500,Buddy Storbeck'S Diesel Service Inc,Ford,Expedition,Doubleã Overhead Camshaft,Auto,Black,26000,06457-3834,Suv,8264678,Middletown
1,C_CND_000002,2022-01-02,Gia,Male,1480000,C & M Motors Inc,Dodge,Durango,Doubleã Overhead Camshaft,Auto,Black,19000,60504-7114,Suv,6848189,Aurora
2,C_CND_000003,2022-01-02,Gianna,Male,1035000,Capitol Kia,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,31500,38701-8047,Passenger,7298798,Greenville
3,C_CND_000004,2022-01-02,Giselle,Male,13500,Chrysler Of Tri-Cities,Toyota,Celica,Overhead Camshaft,Manual,Pale White,14000,99301-3882,Suv,6257557,Pasco
4,C_CND_000005,2022-01-02,Grace,Male,1465000,Chrysler Plymouth,Acura,Tl,Doubleã Overhead Camshaft,Auto,Red,24500,53546-9427,Hatchback,7081483,Janesville
5,C_CND_000006,2022-01-02,Guadalupe,Male,850000,Classic Chevy,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,12000,85257-3102,Hatchback,7315216,Scottsdale
6,C_CND_000007,2022-01-02,Hailey,Male,1600000,Clay Johnson Auto Sales,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,14000,78758-7841,Passenger,7727879,Austin
7,C_CND_000008,2022-01-02,Graham,Male,13500,U-Haul Co,Mitsubishi,Galant,Doubleã Overhead Camshaft,Auto,Pale White,42000,78758-7841,Passenger,6206512,Austin
8,C_CND_000009,2022-01-02,Naomi,Male,815000,Rabun Used Car Sales,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,82000,85257-3102,Hardtop,7194857,Pasco
9,C_CND_000010,2022-01-02,Grayson,Female,13500,Rabun Used Car Sales,Ford,Escort,Doubleã Overhead Camshaft,Auto,Pale White,15000,85257-3102,Passenger,7836892,Scottsdale
10,C_CND_000011,2022-01-02,Gregory,Male,13500,Race Car Help,Acura,Rl,Overhead Camshaft,Manual,Pale White,31000,78758-7841,Suv,7995489,Austin
11,C_CND_000012,2022-01-02,Amar'E,Male,13500,Race Car Help,Nissan,Pathfinder,Doubleã Overhead Camshaft,Auto,Pale White,46000,78758-7841,Hardtop,7288103,Pasco
12,C_CND_000013,2022-01-02,Griffin,Male,885000,Saab-Belle Dodge,Mercury,Grand Marquis,Doubleã Overhead Camshaft,Auto,Black,9000,60504-7114,Suv,6842408,Aurora
13,C_CND_000014,2022-01-02,Harrison,Male,13500,Scrivener Performance Engineering,Bmw,323I,Doubleã Overhead Camshaft,Auto,Pale White,15000,38701-8047,Hatchback,7558767,Greenville
14,C_CND_000015,2022-01-02,Zainab,Male,722000,Buddy Storbeck'S Diesel Service Inc,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,06457-3834,Sedan,7677191,Middletown
15,C_CND_000016,2022-01-02,Zara,Male,746000,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Hatchback,8431908,Aurora
16,C_CND_000017,2022-01-02,Zoe,Female,535000,Capitol Kia,Hyundai,Accent,Overhead Camshaft,Manual,Black,18000,38701-8047,Hatchback,7814646,Greenville
17,C_CND_000018,2022-01-02,Zoey,Female,570000,Chrysler Of Tri-Cities,Cadillac,Eldorado,Doubleã Overhead Camshaft,Auto,Pale White,31000,99301-3882,Passenger,7456650,Pasco
18,C_CND_000019,2022-01-02,Aaliyah,Male,685000,Chrysler Plymouth,Toyota,Land Cruiser,Doubleã Overhead Camshaft,Auto,Pale White,33000,53546-9427,Suv,7627010,Janesville
19,C_CND_000020,2022-01-02,Abigail,Male,455000,Classic Chevy,Honda,Accord,Doubleã Overhead Camshaft,Auto,Pale White,21000,85257-3102,Sedan,6736704,Scottsdale
20,C_CND_000021,2022-01-02,Adrianna,Male,13500,Clay Johnson Auto Sales,Toyota,4Runner,Overhead Camshaft,Manual,Black,25000,78758-7841,Sedan,7889827,Austin
21,C_CND_000022,2022-01-02,Joshua,Male,2500000,Classic Chevy,Infiniti,I30,Doubleã Overhead Camshaft,Auto,Black,21000,85257-3102,Hardtop,6183219,Austin
22,C_CND_000023,2022-01-02,Marcus,Male,585000,Diehl Motor Co Inc,Audi,A4,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hardtop,8097778,Middletown
23,C_CND_000024,2022-01-02,Arthur,Male,920000,Star Enterprises Inc,Porsche,Carrera Cabrio,Doubleã Overhead Camshaft,Auto,Pale White,18000,99301-3882,Passenger,7959858,Pasco
24,C_CND_000025,2022-01-02,Lizzie,Male,672000,Suburban Ford,Volkswagen,Jetta,Doubleã Overhead Camshaft,Auto,Pale White,22000,53546-9427,Passenger,8570849,Janesville
25,C_CND_000026,2022-01-02,Florian,Male,801250,Tri-State Mack Inc,Dodge,Viper,Doubleã Overhead Camshaft,Auto,Pale White,31250,85257-3102,Suv,8520534,Scottsdale
26,C_CND_000027,2022-01-02,Cassandre,Female,820000,U-Haul Co,Buick,Regal,Doubleã Overhead Camshaft,Auto,Black,19000,78758-7841,Passenger,6362556,Austin
27,C_CND_000028,2022-01-02,Syrielle,Male,791000,Progressive Shippers Cooperative Association No,Chrysler,Lhs,Overhead Camshaft,Manual,Pale White,41000,53546-9427,Hatchback,6281210,Janesville
28,C_CND_000029,2022-01-02,Sloane,Male,13500,Race Car Help,Chrysler,Lhs,Overhead Camshaft,Manual,Pale White,41000,78758-7841,Hatchback,6292720,Janesville
29,C_CND_000030,2022-01-02,Sofia,Male,1020000,Ryder Truck Rental And Leasing,Saturn,Lw,Overhead Camshaft,Manual,Pale White,13000,06457-3834,Hatchback,7698986,Scottsdale
30,C_CND_000031,2022-01-02,Sophia,Male,210000,Saab-Belle Dodge,Mitsubishi,3000Gt,Overhead Camshaft,Manual,Pale White,20000,60504-7114,Sedan,8847858,Austin
31,C_CND_000032,2022-01-02,Sophie,Male,750000,Scrivener Performance Engineering,Mercedes-B,Slk230,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hatchback,8344679,Middletown
32,C_CND_000033,2022-01-02,Stella,Male,635000,Star Enterprises Inc,Honda,Accord,Doubleã Overhead Camshaft,Auto,Pale White,19000,99301-3882,Sedan,6827044,Aurora
33,C_CND_000034,2022-01-02,Suri,Male,675000,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,43000,85257-3102,Hatchback,7954038,Greenville
34,C_CND_000035,2022-01-02,Sury,Male,880000,U-Haul Co,Jaguar,S-Type,Doubleã Overhead Camshaft,Auto,Black,16000,78758-7841,Passenger,7400390,Pasco
35,C_CND_000036,2022-01-03,Haley,Male,13500,Diehl Motor Co Inc,Volvo,S40,Doubleã Overhead Camshaft,Auto,Pale White,42000,06457-3834,Sedan,7153628,Middletown
36,C_CND_000037,2022-01-03,Hannah,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,Doubleã Overhead Camshaft,Auto,Pale White,21000,60504-7114,Suv,6125796,Aurora
37,C_CND_000038,2022-01-03,Haylee,Male,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,Doubleã Overhead Camshaft,Auto,Black,61000,38701-8047,Hatchback,7438037,Greenville
38,C_CND_000039,2022-01-03,Hayley,Male,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,Doubleã Overhead Camshaft,Auto,Pale White,39000,99301-3882,Suv,6837588,Pasco
39,C_CND_000040,2022-01-03,Harry,Female,13500,Star Enterprises Inc,Nissan,Sentra,Doubleã Overhead Camshaft,Auto,Black,16000,99301-3882,Passenger,7213857,Pasco
40,C_CND_000041,2022-01-03,Henry,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,53546-9427,Sedan,7704004,Janesville
41,C_CND_000042,2022-01-03,Hersh,Female,13500,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,85257-3102,Sedan,8018700,Scottsdale
42,C_CND_000043,2022-01-03,Hershel,Male,967500,U-Haul Co,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,78758-7841,Passenger,6793858,Austin
43,C_CND_000044,2022-01-03,Aicha,Male,600000,Diehl Motor Co Inc,Mitsubishi,Montero Sport,Doubleã Overhead Camshaft,Auto,Black,45001,06457-3834,Hatchback,6739543,Middletown
44,C_CND_000045,2022-01-03,Aisha,Male,575000,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,60504-7114,Hatchback,6091237,Aurora
45,C_CND_000046,2022-01-03,Aissatou,Male,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,38701-8047,Hatchback,6547535,Greenville
46,C_CND_000047,2022-01-03,Alana,Male,1250000,Hatfield Volkswagen,Bmw,323I,Overhead Camshaft,Manual,Pale White,21001,99301-3882,Hatchback,8689761,Pasco
47,C_CND_000048,2022-01-03,Chloe,Male,730000,Rabun Used Car Sales,Acura,Tl,Doubleã Overhead Camshaft,Auto,Pale White,29000,85257-3102,Hatchback,6404807,Scottsdale
48,C_CND_000049,2022-01-03,Valentine,Male,4060000,Race Car Help,Nissan,Altima,Doubleã Overhead Camshaft,Auto,Pale White,20000,78758-7841,Hatchback,7117432,Austin
49,C_CND_000050,2022-01-03,Aurore,Male,13500,Ryder Truck Rental And Leasing,Cadillac,Deville,Doubleã Overhead Camshaft,Auto,Pale White,22000,06457-3834,Suv,7836930,Middletown
50,C_CND_000051,2022-01-03,Nikita,Male,1180000,Saab-Belle Dodge,Dodge,Stratus,Doubleã Overhead Camshaft,Auto,Pale White,31000,60504-7114,Hatchback,7316398,Aurora
51,C_CND_000052,2022-01-03,Justine,Male,1360000,Progressive Shippers Cooperative Association No,Audi,A4,Doubleã Overhead Camshaft,Auto,Black,27000,53546-9427,Hardtop,7680267,Austin
52,C_CND_000053,2022-01-03,Sylvia,Female,640000,C & M Motors Inc,Mercury,Cougar,Doubleã Overhead Camshaft,Auto,Black,33000,60504-7114,Hatchback,6402878,Scottsdale
53,C_CND_000054,2022-01-03,Chloe,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hardtop,7890478,Middletown
54,C_CND_000055,2022-01-03,Tamar,Male,520000,Chrysler Of Tri-Cities,Acura,Rl,Overhead Camshaft,Manual,Pale White,17000,99301-3882,Suv,8523869,Middletown
55,C_CND_000056,2022-01-04,Hazel,Male,1876000,Iceberg Rentals,Saturn,Sw,Doubleã Overhead Camshaft,Auto,Pale White,25600,53546-9427,Passenger,8852693,Janesville
56,C_CND_000057,2022-01-04,Heaven,Male,13500,Mckinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,17000,85257-3102,Hatchback,6444851,Scottsdale
